target,model,feature_set,n_features,train_rows_used,train_time_sec,artifact_key,val_all_MAE,val_all_MSE,val_all_RMSE,val_all_MaxError,val_all_R2,val_all_NRMSE_range,val_all_NRMSE_mean,val_daylight_n,val_daylight_MAE,val_daylight_MSE,val_daylight_RMSE,val_daylight_MaxError,val_daylight_R2,val_daylight_NRMSE_range,val_daylight_NRMSE_mean,val_all_skill_vs_persistence,val_daylight_skill_vs_persistence,test_all_MAE,test_all_MSE,test_all_RMSE,test_all_MaxError,test_all_R2,test_all_NRMSE_range,test_all_NRMSE_mean,test_daylight_n,test_daylight_MAE,test_daylight_MSE,test_daylight_RMSE,test_daylight_MaxError,test_daylight_R2,test_daylight_NRMSE_range,test_daylight_NRMSE_mean,test_all_skill_vs_persistence,test_daylight_skill_vs_persistence,params
target_1h,HGBR_tuned_2,full,67,17208,1.9548511505126953,target_1h__HGBR_tuned_2__full,34.7825204445039,6280.219734706776,79.24783741343846,1240.9986725617414,0.9958830006412673,0.020243965578811453,0.0834694049453908,2302,63.541908776826304,11836.984461264567,108.79790651140566,1240.9986725617414,0.9913579735439789,0.0278758849768138,0.0607261767428986,0.8014764749897573,0.8006204537832887,34.46823789649697,6404.827946578681,80.0301689775717,916.626582408607,0.9945590562516993,0.021181079980724993,0.0992823142067699,2223,66.52883038464721,12643.50267109418,112.44333093204853,916.626582408607,0.9882181018932819,0.02983556720181463,0.07060394881634045,0.7796399483652003,0.7777327656772344,"{""learning_rate"": 0.05, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""l2_regularization"": 0.1}"
target_1h,HGBR_A6_full,A6_full,67,17208,1.9808180332183838,target_1h__HGBR_A6_full__A6_full,34.7825204445039,6280.219734706776,79.24783741343846,1240.9986725617414,0.9958830006412673,0.020243965578811453,0.0834694049453908,2302,63.541908776826304,11836.984461264567,108.79790651140566,1240.9986725617414,0.9913579735439789,0.0278758849768138,0.0607261767428986,0.8014764749897573,0.8006204537832887,34.46823789649697,6404.827946578681,80.0301689775717,916.626582408607,0.9945590562516993,0.021181079980724993,0.0992823142067699,2223,66.52883038464721,12643.50267109418,112.44333093204853,916.626582408607,0.9882181018932819,0.02983556720181463,0.07060394881634045,0.7796399483652003,0.7777327656772344,
target_1h,HGBR_A4_add_weather_lags,A4_add_weather_lags,41,17208,0.5749433040618896,target_1h__HGBR_A4_add_weather_lags__A4_add_weather_lags,36.9206523345774,6315.688700221763,79.47130740224274,1099.936518862819,0.9958597489535161,0.02030105128498221,0.08370477927985162,2302,67.35468106946561,11882.729593284066,109.00793362542043,1099.936518862819,0.9913245756255783,0.027929697516595294,0.060843404583538395,0.800916660976411,0.8002355648453652,35.76459256053307,6217.986829034012,78.85421250024638,876.9751570831468,0.9947177790181669,0.02086984699798495,0.09782346834942805,2223,68.84467782901122,12269.353646503034,110.76711446319722,876.9751570831468,0.9885667541456786,0.02939080210381674,0.06955144084818533,0.7828779001698043,0.781046150255667,
target_1h,HGBR_A1_weather_time,A1_weather_time,13,17208,1.112271785736084,target_1h__HGBR_A1_weather_time__A1_weather_time,36.52505887846378,6354.43719641735,79.71472383705127,1100.9132222182511,0.9958343473687423,0.020363232337341688,0.08396116261636334,2302,65.62295171684966,11946.47939831589,109.29995150189175,1100.9132222182511,0.9912780327325421,0.028004517492426672,0.06100639603941557,0.8003068791796977,0.7997004222717172,36.64477657445622,6407.727713932911,80.04828364139303,997.7626102895799,0.9945565928801319,0.021185874274528508,0.0993047865539889,2223,69.8121526398902,12629.000312493055,112.37882501829718,997.7626102895799,0.988231615973659,0.029818451286547004,0.07056344510486998,0.7795900703216324,0.7778602748049712,
target_1h,CatBoost,full,67,17208,4.593708276748657,target_1h__CatBoost__full,37.04935563919574,6398.541730377064,79.99088529562017,1050.6415968188853,0.9958054346322937,0.02043377814961789,0.08425203531860934,2302,65.64633368965217,12009.680653334914,109.58868852821861,1050.6415968188853,0.9912318903286457,0.02807849685832183,0.06116755626993072,0.7996150679200282,0.7991712920785827,35.44186415044962,6039.354125595159,77.71328152635918,903.627804295473,0.994869528682502,0.020567883994293632,0.09640807376904863,2223,66.16005089910557,11882.993052034135,109.00914205714186,903.627804295473,0.9889267857978956,0.028924343991761196,0.0684475977589702,0.7860194105718126,0.7845211421602184,
target_1h,MLP,lite,24,17208,28.19412064552307,target_1h__MLP__lite,37.604326711636254,6716.782606191354,81.9559796853857,1135.1055663089878,0.995596811759688,0.020935764127834412,0.08632181116018252,2302,65.7578777830992,12603.95823809057,112.26735161252611,1135.1055663089878,0.9907980160909557,0.028764816167434322,0.06266266746377784,0.7946923157293426,0.7942624602146103,37.82015147355713,6733.973424648888,82.06079103109407,979.7383392593317,0.9942794449887388,0.021718511910155693,0.10180142492874655,2223,70.47478473753019,13257.534721015365,115.1413684173302,979.7383392593317,0.9876459136923832,0.03055146095947806,0.07229806530094116,0.7740487071335299,0.7723995429331029,
target_1h,Ridge,lite,24,17208,0.01563286781311035,target_1h__Ridge__lite,97.44249808424553,17074.37015160559,130.66893338359196,1287.816268234988,0.9888068930810735,0.03337955300706884,0.1376297255592719,2302,112.29783565690987,23253.493527479946,152.49096211736597,1287.816268234988,0.9830229306360069,0.03907079332948136,0.08511370681809069,0.6726616383320974,0.7205499645719485,86.14591788585906,14631.93110391903,120.96251941787187,1003.2869826824026,0.9875700776461978,0.03201438696422061,0.1500613957650556,2223,106.17564357545183,22362.231538146436,149.54006666491236,1003.2869826824026,0.9791616658551725,0.03967876681847021,0.09389724695350823,0.6669342653485113,0.704403482513887,
target_1h,SVR_RBF,lite,24,8000,2.0768895149230957,target_1h__SVR_RBF__lite,154.70095878880346,57938.40690582291,240.7039819068702,1263.1272316259874,0.9620184652522504,0.06148815265436163,0.25352639003806515,2302,243.67939689516865,104032.5875837771,322.54083087847516,1263.1272316259874,0.9240471779675473,0.0826404789411252,0.1800280182842885,0.39701316109289375,0.40892204125113585,109.11228454313685,31183.71170998554,176.5891041655332,1119.771530876359,0.9735092304286032,0.0467367242483639,0.2190695727528433,2223,175.1365154585006,58416.847425186796,241.6957745290281,1119.771530876359,0.9455640290524266,0.06413124249861708,0.15176245627484788,0.5137685624159403,0.5222388832955296,
target_1h,SeasonalPersistence24h,baseline,0,0,0.0,,106.12922471650081,69558.43625582597,263.73933391859845,2340.2519999999995,0.9545194758659254,0.06737256399530953,0.27719955029255267,2291,200.16777826276734,131192.4936976971,362.2050437220568,2340.2519999999995,0.9043604991816988,0.09280312885211067,0.2018426469312052,0.3400449942470649,0.33679393991038686,104.6614181734951,61455.27984564706,247.90175442228534,2191.14,0.9475321465605611,0.06561059354069346,0.30853278911709076,2208,207.06428804347826,121601.98181915218,348.71475709977085,2191.14,0.886077553699862,0.09252752016037359,0.21933557407200327,0.31646606756040785,0.31021279794371626,
target_1h,HGBR_A0_weather_only,A0_weather_only,6,17208,1.35097074508667,target_1h__HGBR_A0_weather_only__A0_weather_only,174.8398471372372,90288.22378390026,300.47998899078164,1603.2100963260846,0.9408115360414553,0.07675801325046024,0.316486691595259,2302,294.80717772257583,161494.62285518533,401.863935748389,1603.2100963260846,0.8820949028203282,0.10296441547868761,0.22430266510960115,0.24726846111546574,0.2635570690693776,164.56292506877898,91229.89576701405,302.04287074356523,1561.4362603027407,0.9224995994940319,0.07993978126698882,0.3747026350210678,2223,290.8934163800612,170989.7521544483,413.50907142945283,1561.4362603027407,0.8406625213294356,0.10971995926240427,0.2596452192610768,0.1683363481135728,0.18261477215094268,
