model,daily_total_RMSE,daily_total_MAE,daily_total_R2
Ensemble_CatBoost_w0.7_TSMixer-lite_w0.3,2389.2950251656425,1606.2684686138996,0.8459392506381578
Ensemble_HistGradientBoosting_w0.2_LSTM_w0.8,2390.094248280692,1592.552436877728,0.8458361662520719
Ensemble_XGBoost_w0.2_LSTM_w0.8,2391.7473322727956,1592.90187882676,0.8456228408598755
Ensemble_CatBoost_w0.3_LSTM_w0.7,2392.824934575623,1591.6296654265627,0.845483700193902
Ensemble_CatBoost_w0.5_GRU_w0.5,2393.387257737991,1583.0730375696824,0.8454110677981017
Ensemble_CatBoost_w0.7_LSTM_w0.3,2396.513399742049,1609.112639381567,0.845006968909162
Ensemble_CatBoost_w0.3_TSMixer-lite_w0.7,2396.9343676607264,1608.4306719636945,0.8449525124439341
XGBoost,2397.3956423009968,1638.503649453999,0.8448928309134389
Ensemble_CatBoost_w0.7_GRU_w0.3,2398.3394559769777,1598.1305875653668,0.8447706807927751
Ensemble_CatBoost_w0.8_TSMixer-lite_w0.2,2398.7510461161096,1617.2663992418115,0.8447173969765635
Ensemble_CatBoost_w0.2_LSTM_w0.8,2399.5213713640915,1594.588806158958,0.8446176473033208
Ensemble_HistGradientBoosting_w0.2_GRU_w0.8,2401.1638301225203,1590.103525210563,0.8444048578247765
Ensemble_CatBoost_w0.3_GRU_w0.7,2402.0331764359894,1585.1280539210413,0.8442921703452926
Ensemble_XGBoost_w0.2_GRU_w0.8,2402.491709696188,1589.5138883001994,0.8442327173501267
Ensemble_HistGradientBoosting_w0.2_TSMixer-lite_w0.8,2403.300160176297,1620.8961564784681,0.8441278667718746
Ensemble_XGBoost_w0.2_TSMixer-lite_w0.8,2404.0520605868905,1620.7797926404226,0.8440303186947276
Ensemble_CatBoost_w0.8_LSTM_w0.2,2405.036516503275,1620.38394347945,0.8439025538128085
Ensemble_CatBoost_w0.8_GRU_w0.2,2405.8976128912777,1612.2040379242344,0.8437907559178087
HistGradientBoosting,2408.9268861181035,1647.6282075196152,0.843397141175063
Ensemble_CatBoost_w0.2_TSMixer-lite_w0.8,2410.1560208312058,1621.6502916847724,0.8432372898169771
Ensemble_CatBoost_w0.2_GRU_w0.8,2411.418735767629,1593.00394617422,0.843072986371531
MLP,2412.122663205373,1674.9659671471911,0.8429813545432104
LSTM,2421.9197302195967,1611.1534215915358,0.8417032717682926
Ridge,2430.297893474963,1623.7450401649537,0.8406061835835626
CatBoost,2431.0200279368287,1651.1663294686925,0.8405114455113143
GRU,2440.1201937108626,1623.3250212361067,0.8393151667744099
TSMixer-lite,2449.7484440906974,1663.5448686069403,0.8380446013989759
Random Forest,2467.2485121549553,1746.4868188152557,0.8357224414757183
Linear Regression,2512.3177557372137,1691.8207550987904,0.8296659064411133
iTransformer-mini,2549.237620740852,1738.12920299632,0.824622818454837
PatchTST-lite,2601.218952922944,1809.8333649873896,0.8173976898218529
SVR,2747.3909680240495,1838.8291009634086,0.7962988969841709
SeasonalPersistence_yesterday,3062.4915178080646,1943.149312379509,0.746894118385568
SeasonalPersistence_weekly,3983.164701893987,2818.3531368210733,0.5718371549263737
Persistence_current,29463.691142684864,25126.085168700363,-22.427543606927074
