split,model,horizon,RMSE,MAE,R2,daylight_RMSE,n_daylight
test,Linear Regression,1,81.95286274395124,38.40865192038571,0.9958924433501244,109.9466707568516,2398
test,Linear Regression,2,130.75463576001872,70.17936232974057,0.9878650836270378,179.48965783721565,2292
test,Linear Regression,3,171.4107761402911,91.41897614034366,0.9739260236567701,240.99447713228244,2188
test,Linear Regression,4,194.0647707001417,102.77844739760987,0.9644292372164854,272.82011959211894,2188
test,Linear Regression,5,197.0214473235583,100.4069274368966,0.9691692042216422,276.97749868942896,2188
test,Linear Regression,6,186.4904857316168,84.80786913356907,0.9776133146911848,253.84567045464914,2343
test,Linear Regression,7,188.23419745928862,81.49797414278967,0.978330327003241,253.4450178522235,2398
test,Linear Regression,8,208.23051776740155,101.99327658256058,0.9692234457029905,286.83334804350267,2293
test,Linear Regression,9,220.23552041989947,115.07629736782019,0.9569498176164968,310.2070733146384,2189
test,Linear Regression,10,221.327261200584,118.31577459121365,0.9537258866616198,311.5275105772462,2189
test,Linear Regression,11,208.36591733940904,108.96085364289662,0.9655169734428566,293.15125471493815,2189
test,Linear Regression,12,188.44347024722168,86.9206561427806,0.9771456955655292,256.714183469178,2344
test,Linear Regression,13,187.28114394650933,76.33753281715991,0.9785534633247465,252.4835974174648,2399
test,Linear Regression,14,207.62778634074127,99.16160859880803,0.9694052910670845,286.1793079994831,2293
test,Linear Regression,15,220.4519315546462,113.66129549099263,0.9568695054037154,310.6550480640424,2189
test,Linear Regression,16,222.07586258168678,118.35267814686779,0.9534104104721249,312.74994322201064,2189
test,Linear Regression,17,209.54443497716596,109.40483726691458,0.9651201136727998,295.07612437760775,2189
test,Linear Regression,18,189.097797080848,87.2997225372928,0.9769820142198334,257.7961111035823,2344
test,Linear Regression,19,185.8228609809987,74.74760156007888,0.9788810384903353,250.82452136010505,2398
test,Linear Regression,20,200.910743140798,90.89204206394773,0.9713476032798306,277.37068996978365,2292
test,Linear Regression,21,210.66648626596495,104.51168164276548,0.9606140272428516,297.52967114915003,2188
test,Linear Regression,22,210.6424815591947,109.35721257301071,0.9580914094453533,297.40367598455185,2188
test,Linear Regression,23,200.69720569865117,100.18796418686559,0.9680071111114171,283.3204081609791,2188
test,Linear Regression,24,187.26632591670383,81.32147737581055,0.9774258563083791,255.61097602352953,2343
test,Ridge,1,78.42925103984747,34.26960428724666,0.9962380636806201,105.48699486739785,2398
test,Ridge,2,120.8448300754559,63.48965753930493,0.989634774661823,165.66779894429726,2292
test,Ridge,3,159.59041827123576,85.23571961062778,0.9773981155484036,223.80184867185343,2188
test,Ridge,4,180.5598467039472,95.67042252852379,0.9692077002237869,253.0829045478144,2188
test,Ridge,5,185.44140357346953,93.90869149688938,0.9726868911302023,259.78713621186074,2188
test,Ridge,6,178.80596057589455,82.60965467387203,0.9794202346627705,242.67556047957873,2343
test,Ridge,7,181.37899205339536,79.36922278479406,0.9798799399529163,243.51479510334585,2398
