epoch,train_loss,val_loss,target,model
24,0.009842066059528446,0.01332381067057962,target_1h,PatchTST
25,0.009567113867752365,0.010150490575196111,target_1h,PatchTST
26,0.00938234943896532,0.010026883470880635,target_1h,PatchTST
27,0.00935160783258503,0.010942229288904107,target_1h,PatchTST
28,0.008989789217376887,0.010034585152478778,target_1h,PatchTST
29,0.010025405380596866,0.010350293151157744,target_1h,PatchTST
30,0.00891724200363257,0.01318624897805207,target_1h,PatchTST
1,0.024984025458958167,0.01837233390987796,target_1h,iTransformer
2,0.014495358166437763,0.014264578670811127,target_1h,iTransformer
3,0.012816629570616937,0.011839435887796915,target_1h,iTransformer
4,0.009476636539894476,0.008221362279180218,target_1h,iTransformer
5,0.008306876471293951,0.010257540051551425,target_1h,iTransformer
6,0.007593557756366347,0.010024374597431981,target_1h,iTransformer
7,0.0072403625557338125,0.007591778878122568,target_1h,iTransformer
8,0.00683106412874785,0.00766739176641054,target_1h,iTransformer
9,0.006317648011496041,0.008116405758568469,target_1h,iTransformer
10,0.006582399361085759,0.010472654680009274,target_1h,iTransformer
11,0.0059835139693303115,0.009517752647619037,target_1h,iTransformer
12,0.006409915468182916,0.009530905757428092,target_1h,iTransformer
13,0.005447579450460512,0.008915770073037814,target_1h,iTransformer
1,0.03695079994235021,0.017363309202825323,target_24h,LSTM
2,0.01738773689452392,0.021052771384882575,target_24h,LSTM
3,0.016215613322096197,0.016314935035017485,target_24h,LSTM
4,0.015935507022650605,0.016160566825419664,target_24h,LSTM
5,0.015280948708584504,0.016645738457822624,target_24h,LSTM
6,0.014748414234716945,0.016162910060409236,target_24h,LSTM
7,0.014050791957485141,0.016721951604053816,target_24h,LSTM
8,0.01401331288906843,0.017078504705911175,target_24h,LSTM
9,0.013705279306272295,0.01886254592853434,target_24h,LSTM
10,0.013286804523207803,0.017961912569315994,target_24h,LSTM
1,0.02926732626840917,0.019790059092509395,target_24h,GRU
