target,model,model_type,lookback,n_features,train_seconds,status,val_MAE,val_RMSE,val_R2,val_MaxError,val_NRMSE,val_daylight_MAE,val_daylight_RMSE,val_daylight_R2,val_daylight_MaxError,val_daylight_NRMSE,val_skill_vs_persistence_daylight,test_MAE,test_RMSE,test_R2,test_MaxError,test_NRMSE,test_daylight_MAE,test_daylight_RMSE,test_daylight_R2,test_daylight_MaxError,test_daylight_NRMSE,test_skill_vs_persistence_daylight,boosting_model,deep_model,boosting_weight,deep_weight
target_1h,PatchTST,deep_learning,168.0,60.0,59.84138822555542,ok,87.12274169921875,166.17598211309,0.9818973541259766,1449.276123046875,0.04244987704441159,159.42808532714844,227.84918257479004,0.9620973467826843,1449.276123046875,0.05837885952523644,0.582450900576168,76.210693359375,168.84716531341294,0.9757810831069946,1618.1026611328125,0.04468771551571166,149.35336303710938,237.28291065203157,0.9475336670875549,1618.1026611328125,0.06296034190543132,0.5309618200186363,,,,
target_24h,Ensemble_CatBoost_compact_w0.2_LSTM_w0.8,ensemble,,,,ok,109.37045433801222,212.84156993302543,0.970444879301558,2126.365853599738,0.05437066391127258,192.54378334460137,291.5726974319709,0.9381476313899331,2126.365853599738,0.0747059144668559,0.19280402211263126,102.38469054531346,204.61218879415793,0.9641915325397482,2117.262507615081,0.05415341896269346,189.58973489776525,287.39140000962885,0.9225102225569857,2117.262507615081,0.0762560639346738,0.17381106853422534,CatBoost_compact,LSTM,0.2,0.8
target_24h,Ensemble_XGBoost_compact_w0.1_LSTM_w0.9,ensemble,,,,ok,111.16170553041476,213.67787200897965,0.970212165662699,2121.457873535156,0.054584298395900344,195.26757794638766,292.65593515424746,0.9376871954253139,2121.457873535156,0.07498345850764027,0.18980516405692616,104.91141510009766,206.77262383775565,0.9634313583374023,2131.02197265625,0.054725207695061354,193.62998962402344,290.36026921309326,0.9209009408950806,2131.02197265625,0.0770438198653853,0.1652762032780286,XGBoost_compact,LSTM,0.1,0.9
target_24h,LSTM,deep_learning,168.0,60.0,12.992805242538452,ok,112.5716323852539,213.9039193627597,0.9701490998268127,2110.789306640625,0.054642042494970254,196.647216796875,292.8399066683023,0.9376088380813599,2110.789306640625,0.07503059515765712,0.18929585345446287,107.08929443359375,208.1022040819126,0.9629595875740051,2121.4814453125,0.05507709932200048,196.58090209960938,292.11923667827836,0.9199396967887878,2121.4814453125,0.07751054202714683,0.1602195472664164,,,,
target_24h,Ensemble_CatBoost_compact_w0.5_GRU_w0.5,ensemble,,,,ok,99.82103376572095,215.4834186263605,0.9697066331654962,2224.9602577786404,0.05504552769589395,176.88561003936093,295.36898679318665,0.9365265049542603,2224.9602577786404,0.075678588763209,0.1822942949322085,94.47193531544353,207.98920876638255,0.9629997773389968,2172.9815559029375,0.05504719356370337,174.7257402591465,292.1779706828501,0.9199075065756658,2172.9815559029375,0.07752612643227381,0.16005069954001883,CatBoost_compact,GRU,0.5,0.5
target_24h,Ensemble_XGBoost_compact_w0.3_GRU_w0.7,ensemble,,,,ok,101.1019131740828,217.13578645411326,0.9692402612867715,2248.1164184570316,0.05546762726905917,178.08656395630842,297.5356482765664,0.9355918774990262,2248.1164184570316,0.0762337245111086,0.17629606378700435,98.080078125,213.16118644408508,0.9611367583274841,2236.9697265625,0.056416028312487994,179.0717315673828,299.2521407609309,0.915982186794281,2236.9697265625,0.07940317760966052,0.13971397054388013,XGBoost_compact,GRU,0.30000000000000004,0.7
target_24h,GRU,deep_learning,168.0,60.0,12.162291288375854,ok,104.6698989868164,219.88334087363236,0.9684568643569946,2261.248291015625,0.05616949372291314,180.6431121826172,300.88982618227556,0.9341315031051636,2261.248291015625,0.07709312228716063,0.16701028724327016,104.17340087890625,219.51746620428636,0.9587844610214233,2245.576171875,0.05809830483241005,185.4430389404297,307.6217111770559,0.9112167954444885,2245.576171875,0.08162394864434143,0.11565324207846961,,,,
target_24h,PatchTST,deep_learning,168.0,60.0,31.163590908050537,ok,115.34184265136719,220.81189852734386,0.9681898951530457,2077.78662109375,0.056406695018355914,201.970703125,301.3829063666352,0.9339154958724976,2077.78662109375,0.07721945786796948,0.16564523370740558,106.97927856445312,225.72245990651882,0.9564214944839478,2300.662109375,0.059740541424463264,204.26072692871094,316.9292236643696,0.9057630300521851,2300.662109375,0.08409359202017519,0.08889613036169441,,,,
target_24h,CatBoost_compact,boosting_for_ensemble,,67.0,3.6483871936798096,ok,103.48971962421288,221.02556568340145,0.9681283276937639,2194.688944570681,0.05646127657934769,189.1733110627466,303.2147215401479,0.9331096925134338,2194.688944570681,0.07768880026139936,0.1605739981173947,91.43565340852177,204.74165732579232,0.9641462025281985,2100.387000966031,0.054187684583316555,177.20064846455287,287.93317132329094,0.922217789943333,2100.387000966031,0.07639981683727007,0.17225359164828413,,,,
target_24h,TSMixer,deep_learning,168.0,60.0,21.443511724472046,ok,110.90160369873047,230.33494632816792,0.9653869867324829,2176.912841796875,0.05883937032493496,208.3699188232422,316.10601959627405,0.9273010492324829,2176.912841796875,0.0809917714189523,0.1248854578929447,102.76712799072266,218.57358958140392,0.9591381549835205,2081.98486328125,0.05784849495300219,203.3323211669922,307.50105436811106,0.9112864136695862,2081.98486328125,0.08159193372205517,0.11600010465004573,,,,
target_24h,XGBoost_compact,boosting_for_ensemble,,67.0,1.879687786102295,ok,106.99199676513672,231.10114296828996,0.9651563167572021,2217.4755859375,0.05903509628214873,198.89996337890625,317.1515804784835,0.9268193244934082,2217.4755859375,0.0812596620085863,0.12199090519240341,95.38599395751953,214.325695860879,0.9607110023498535,2216.887939453125,0.05672423168348602,187.01380920410156,301.50956141555446,0.9147098064422607,2216.887939453125,0.0800021586987281,0.13322436800723592,,,,
target_24h,iTransformer,deep_learning,168.0,60.0,26.495662450790405,ok,118.9735107421875,235.19535596765087,0.9639108180999756,2079.9599609375,0.060080968472621024,222.6313934326172,322.7406321258605,0.9242173433303833,2079.9599609375,0.0826916726803578,0.10651805725532904,104.67713928222656,229.55395777736004,0.954929530620575,2228.52587890625,0.060754599827714445,206.10606384277344,322.9042645467848,0.9021762013435364,2228.52587890625,0.08567900167240028,0.0717191631944738,,,,
