model,horizon,RMSE,MAE,R2,daylight_RMSE
SeasonalPersistence_yesterday,17,244.52168711333152,103.67745208740234,0.9525039196014404,345.7663815714304
SeasonalPersistence_yesterday,18,227.75081469393254,82.70931243896484,0.9666101932525635,311.2206436959155
SeasonalPersistence_yesterday,19,228.9007273224574,76.3873062133789,0.9679543972015381,309.25
SeasonalPersistence_yesterday,20,249.20199199143653,94.4749755859375,0.9559183716773987,344.3754423772113
SeasonalPersistence_yesterday,21,257.3040212958204,110.64527130126953,0.9412451386451721,363.92442124018004
SeasonalPersistence_yesterday,22,256.50758395220987,115.9470443725586,0.9378542304039001,362.79793790759066
SeasonalPersistence_yesterday,23,244.51989789943477,103.66331481933594,0.9525102972984314,345.84285629458935
SeasonalPersistence_yesterday,24,227.7508061182221,82.7082290649414,0.9666103720664978,311.28703343939657
SeasonalPersistence_weekly,1,273.2155885239713,103.2920913696289,0.9543473124504089,369.11310512497386
SeasonalPersistence_weekly,2,297.1402104857234,124.78866577148438,0.937332034111023,410.62056694715136
SeasonalPersistence_weekly,3,307.2161799938278,145.20953369140625,0.9162433743476868,434.51891500831124
SeasonalPersistence_weekly,4,309.01238850570377,150.71775817871094,0.9098114371299744,437.0594388924692
SeasonalPersistence_weekly,5,295.4749619257104,137.976806640625,0.9306575655937195,417.9124646681408
SeasonalPersistence_weekly,6,280.30967807944126,114.26500701904297,0.94942307472229,383.11769976731694
SeasonalPersistence_weekly,7,273.2155885239713,103.2920913696289,0.9543473124504089,369.11310512497386
SeasonalPersistence_weekly,8,297.14023677802373,124.79052734375,0.9373307824134827,410.5310585083667
SeasonalPersistence_weekly,9,307.2177947930426,145.22457885742188,0.9162291288375854,434.42193990980707
SeasonalPersistence_weekly,10,309.02693804505134,150.7630615234375,0.9097887277603149,436.9801733202549
SeasonalPersistence_weekly,11,295.502683469203,138.03797912597656,0.9306454658508301,417.8561729231722
SeasonalPersistence_weekly,12,280.3536689388958,114.34007263183594,0.949415385723114,383.0961041305432
SeasonalPersistence_weekly,13,273.2745014175307,103.37785339355469,0.9543367028236389,369.11572964992973
SeasonalPersistence_weekly,14,297.15723426327685,124.8371353149414,0.9373316764831543,410.554522110036
SeasonalPersistence_weekly,15,307.21398029305243,145.21795654296875,0.9162396192550659,434.4165447758637
SeasonalPersistence_weekly,16,308.94449845401033,150.6780548095703,0.9098331332206726,436.8635906950818
