model,model_type,val_daylight_RMSE,test_daylight_RMSE,test_RMSE,test_R2,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_daily_total_R2,test_skill_vs_persistence_daylight,train_seconds
Ensemble_HistGradientBoosting_w0.3_TSMixer-lite_w0.7,ensemble,226.76971558444484,249.74575352996496,179.92179833367885,0.9758917689323425,85.66117791825974,174.1233342974887,186.53028406937037,2344.517327724408,0.8516596555709839,0.2644249073211694,0.0
Ensemble_XGBoost_w0.3_TSMixer-lite_w0.7,ensemble,227.04897771461117,249.66171644096738,179.8452948456673,0.9759122729301453,85.28964322933646,174.36804421610628,186.7361315131595,2343.6963327188955,0.8517634868621826,0.2646724213976016,0.0
Ensemble_CatBoost_w0.7_LSTM_w0.3,ensemble,227.1892709697137,252.6343006081122,181.92264195599734,0.9753525853157043,87.55650798109613,176.40898193190165,184.62650219429494,2380.0115545938006,0.8471341133117676,0.2559172820475313,0.0
Ensemble_Random Forest_w0.5_TSMixer-lite_w0.5,ensemble,227.27800810626178,250.15460844245905,180.11329442360716,0.9758403897285461,82.60801699990292,175.466949567789,185.63301750362191,2346.918831148619,0.8513555526733398,0.2632207087075823,0.0
Ensemble_HistGradientBoosting_w0.7_GRU_w0.3,ensemble,227.28280325675763,251.3648835607313,180.9777643023446,0.9756079316139221,79.04708038864402,174.3459877298586,185.48212093757178,2353.5331950070304,0.8505165576934814,0.2596560906121512,0.0
Ensemble_CatBoost_w0.5_LSTM_w0.5,ensemble,227.48195326772628,252.78138714608716,182.1031429918221,0.9753036499023438,90.3127568119186,176.60236275670266,185.45045455255698,2380.230451027799,0.8471059799194336,0.25548406870046325,0.0
Ensemble_XGBoost_w0.7_GRU_w0.3,ensemble,227.6821900972933,251.13652599233748,180.78632501519576,0.9756594896316528,77.82236696979378,174.47845833189552,185.7118063021304,2353.66554548432,0.8504997491836548,0.26032867117522795,0.0
Ensemble_CatBoost_w0.3_TSMixer-lite_w0.7,ensemble,227.764089506555,250.87211165502234,180.73645458408495,0.9756729602813721,88.88509469305723,175.4312376420602,186.78205255390571,2353.9442431799444,0.8504643440246582,0.26110744958457877,0.0
Ensemble_Random Forest_w0.3_TSMixer-lite_w0.7,ensemble,227.7844975931198,250.40267570455393,180.3798184560845,0.9757688641548157,87.2115726176148,175.44445791332367,186.72953159248806,2348.391683684815,0.8511689305305481,0.26249007726850115,0.0
Ensemble_HistGradientBoosting_w0.3_LSTM_w0.7,ensemble,227.92199871885995,252.74520890612348,182.22002282611535,0.9752719402313232,90.18957627114538,176.66185810574675,186.86626233753378,2380.4912308177068,0.8470724821090698,0.25559062431487556,0.0
Ensemble_HistGradientBoosting_w0.7_iTransformer-mini_w0.3,ensemble,228.0565136923302,252.23352275223053,181.59094011334926,0.9754423499107361,79.14049389179664,175.6840703596231,185.9043983140259,2367.654218841932,0.8487173914909363,0.25709769134105076,0.0
Ensemble_XGBoost_w0.3_LSTM_w0.7,ensemble,228.09155576763467,252.72326917252792,182.1736808652666,0.9752845168113708,89.78180473201405,177.02210093304734,186.89428203198193,2380.946240468272,0.8470140099525452,0.25565524331778067,0.0
Ensemble_HistGradientBoosting_w0.5_GRU_w0.5,ensemble,228.17519995608637,252.00048828077695,181.53010683492698,0.9754588007926941,83.71849629020907,174.5355947310605,185.52561522940707,2363.7363431652016,0.8492176532745361,0.2577840467665745,0.0
Ensemble_XGBoost_w0.7_iTransformer-mini_w0.3,ensemble,228.43513165666965,252.01121471821446,181.40671027073392,0.9754921793937683,78.07739487101084,175.76099605536777,185.99745882000647,2367.1268449324807,0.8487847447395325,0.2577524542365688,0.0
Ensemble_XGBoost_w0.5_GRU_w0.5,ensemble,228.5864596410951,251.96498082570918,181.4755170298462,0.9754735827445984,82.82451269004696,174.88368902644982,185.73535229931323,2364.229367045423,0.8491547107696533,0.2578886267211207,0.0
Ensemble_Random Forest_w0.7_TSMixer-lite_w0.3,ensemble,228.60204402246714,251.66087362261936,181.13747584707588,0.9755648970603943,79.86162348869449,176.9632068044089,185.9461552607367,2365.5832261833443,0.8489819169044495,0.25878431235715393,0.0
HistGradientBoosting,tabular_or_boosting,228.6926755358597,253.0027328162682,182.09207406556718,0.9753066301345825,76.85389064850588,176.30312253509578,186.99438076450318,2357.199609706399,0.8500504493713379,0.2548321402510054,28.67299747467041
CatBoost,tabular_or_boosting,228.7461065242423,254.46680622185283,183.22073009760658,0.9749996066093445,86.54964931688053,177.89272684858423,184.62440758198792,2402.022793397265,0.844293475151062,0.2505200111525928,95.03350138664246
Ensemble_Random Forest_w0.5_LSTM_w0.5,ensemble,228.76830527850663,252.82167010562998,182.09877771075236,0.9753048419952393,86.36804082855244,178.05520013994257,186.61121641999443,2379.4625443574437,0.8472046256065369,0.25536542347314595,0.0
Ensemble_CatBoost_w0.3_LSTM_w0.7,ensemble,228.83691142656596,254.02352099510392,183.12621586627077,0.9750253558158875,94.58546998779728,177.74392900145705,186.9270412487182,2392.011914686045,0.8455886840820312,0.25182561722252694,0.0
XGBoost,tabular_or_boosting,228.87788433463814,252.2976060751469,181.56992239561595,0.9754480719566345,75.2797127800711,175.7308677797529,187.18373326761062,2355.93410349271,0.8502113819122314,0.25690894700595346,39.11745262145996
Ensemble_CatBoost_w0.7_GRU_w0.3,ensemble,229.00828144141425,253.89021680147505,182.8304478369235,0.9751060009002686,88.1354603720886,176.77814264990454,184.8533730588923,2388.072339775326,0.8460968732833862,0.2522182374901275,0.0
Ensemble_Random Forest_w0.3_LSTM_w0.7,ensemble,229.28358191876714,253.73498262212485,182.90571341540974,0.9750854969024658,92.19355382665049,178.47732151978022,187.36905844482433,2387.9020080396936,0.8461188077926636,0.2526754480502612,0.0
Ensemble_Random Forest_w0.7_LSTM_w0.3,ensemble,229.74076763278214,253.42254117382691,182.4294812386419,0.9752150774002075,82.20248793946263,178.756692400942,186.8432351765779,2387.5428791960994,0.846165120601654,0.25359568050282577,0.0
Ensemble_HistGradientBoosting_w0.5_iTransformer-mini_w0.5,ensemble,230.09845039678126,254.04230393282927,182.9719710433814,0.9750674366950989,83.84036344726059,177.13524913007856,186.3421542150353,2393.245912980946,0.8454293012619019,0.2517702959169078,0.0
Ensemble_CatBoost_w0.5_GRU_w0.5,ensemble,230.2020511963349,254.51042924357736,183.34963824275738,0.9749643802642822,91.04624619012307,176.88789705629947,185.56797314259268,2389.9116092441577,0.845859706401825,0.2503915284545113,0.0
Ensemble_CatBoost_w0.7_iTransformer-mini_w0.3,ensemble,230.470476688447,255.45123984334074,183.9340489822371,0.9748045206069946,88.3331650450441,178.75285181291514,185.26415895620502,2410.494866204863,0.8431931734085083,0.24762056304535907,0.0
Ensemble_XGBoost_w0.5_iTransformer-mini_w0.5,ensemble,230.4834677504007,254.01330243217578,182.92541384742034,0.975080132484436,83.12670933392889,177.414003155402,186.38911541114734,2392.9118245351206,0.8454724550247192,0.25185571391192674,0.0
Ensemble_HistGradientBoosting_w0.3_GRU_w0.7,ensemble,230.51768336453063,254.00938097834103,183.11081429697154,0.9750295877456665,90.52653594906579,175.91979817696756,186.41140238059472,2383.9616188185582,0.8466262817382812,0.2518672637530238,0.0
