model,daily_total_RMSE,daily_total_MAE,daily_total_R2
Ensemble_Random Forest_w0.7_TSMixer-lite_w0.3,2365.5832261833443,1623.4422607421875,0.8489819169044495
Ensemble_XGBoost_w0.7_iTransformer-mini_w0.3,2367.524023109375,1618.6783447265625,0.8487340211868286
Ensemble_HistGradientBoosting_w0.7_iTransformer-mini_w0.3,2367.677554060096,1615.7833251953125,0.8487144112586975
Ensemble_Random Forest_w0.5_LSTM_w0.5,2379.4625443574437,1628.5145263671875,0.8472046256065369
Ensemble_CatBoost_w0.7_LSTM_w0.3,2380.119954960254,1620.363037109375,0.8471201658248901
Ensemble_CatBoost_w0.5_LSTM_w0.5,2380.155352072633,1608.6290283203125,0.8471156358718872
Ensemble_HistGradientBoosting_w0.3_LSTM_w0.7,2380.4840894238296,1600.684814453125,0.8470733761787415
Ensemble_XGBoost_w0.3_LSTM_w0.7,2380.981415299162,1602.3447265625,0.8470094799995422
Ensemble_HistGradientBoosting_w0.3_GRU_w0.7,2383.9701130676954,1596.1009521484375,0.8466251492500305
Ensemble_XGBoost_w0.3_GRU_w0.7,2384.432007837506,1598.2113037109375,0.8465657234191895
Ensemble_Random Forest_w0.5_GRU_w0.5,2384.6878202397897,1628.3687744140625,0.8465328216552734
Ensemble_Random Forest_w0.7_LSTM_w0.3,2387.5428791960994,1654.09521484375,0.846165120601654
Ensemble_CatBoost_w0.7_GRU_w0.3,2387.69491350968,1622.970703125,0.846145510673523
Ensemble_Random Forest_w0.3_LSTM_w0.7,2387.9020080396936,1616.0809326171875,0.8461188077926636
TSMixer-lite,2388.1378729043263,1606.9814453125,0.8460884094238281
Ensemble_CatBoost_w0.5_GRU_w0.5,2389.3830793742554,1611.0299072265625,0.845927894115448
Ensemble_Random Forest_w0.7_GRU_w0.3,2391.7394297874507,1654.8568115234375,0.8456238508224487
Ensemble_CatBoost_w0.3_LSTM_w0.7,2391.903217105575,1607.7313232421875,0.8456026911735535
Ensemble_Random Forest_w0.3_GRU_w0.7,2392.6930434136343,1613.5321044921875,0.8455007076263428
Ensemble_XGBoost_w0.5_iTransformer-mini_w0.5,2392.9228988832883,1624.7847900390625,0.8454710245132446
Ensemble_HistGradientBoosting_w0.5_iTransformer-mini_w0.5,2393.215410279651,1623.9888916015625,0.845433235168457
Ensemble_CatBoost_w0.3_GRU_w0.7,2400.0342705886515,1607.22607421875,0.8445512056350708
CatBoost,2401.982098184747,1652.795166015625,0.844298779964447
Ensemble_Random Forest_w0.7_iTransformer-mini_w0.3,2408.4317511609083,1670.936767578125,0.8434615135192871
Ensemble_CatBoost_w0.7_iTransformer-mini_w0.3,2409.459275439201,1641.5908203125,0.8433278799057007
Ensemble_Random Forest_w0.5_iTransformer-mini_w0.5,2417.2520555374444,1659.5516357421875,0.8423128128051758
Ensemble_CatBoost_w0.5_iTransformer-mini_w0.5,2427.8446202341697,1645.797119140625,0.8409278392791748
Random Forest,2430.1861039846312,1712.412109375,0.8406208157539368
LSTM,2431.068180862067,1626.358642578125,0.8405051231384277
GRU,2432.5315003099136,1615.618896484375,0.8403130769729614
Ensemble_XGBoost_w0.3_iTransformer-mini_w0.7,2432.932387058876,1643.2515869140625,0.84026038646698
Ensemble_HistGradientBoosting_w0.3_iTransformer-mini_w0.7,2433.213513031686,1643.608154296875,0.840223491191864
Ridge,2436.43540854257,1698.6051025390625,0.8398001194000244
Linear Regression,2441.8983394072734,1705.78369140625,0.8390808701515198
Ensemble_Random Forest_w0.3_iTransformer-mini_w0.7,2444.557424156774,1661.820556640625,0.8387302160263062
Ensemble_CatBoost_w0.3_iTransformer-mini_w0.7,2456.689947877021,1658.3570556640625,0.8371254801750183
MLP,2470.7927877505226,1743.34228515625,0.8352501392364502
iTransformer-mini,2518.7493920594798,1694.4412841796875,0.8287926912307739
PatchTST-lite,2751.6541388771952,1904.2916259765625,0.7956662178039551
SVR,2857.234414604444,2176.691162109375,0.7796849012374878
SeasonalPersistence_yesterday,3062.491469375874,1943.149169921875,0.746894121170044
SeasonalPersistence_weekly,3983.1645710414728,2818.353271484375,0.5718371868133545
Persistence_current,29463.690468099885,25126.083984375,-22.42754364013672
