task,model,model_type,train_seconds,val_RMSE,val_MAE,val_R2,val_MaxError,val_NRMSE,val_daylight_RMSE,val_daylight_MAE,val_daylight_R2,val_h1_RMSE,val_h12_RMSE,val_h24_RMSE,val_daily_total_RMSE,val_daily_total_MAE,val_daily_total_R2,val_skill_vs_persistence_daylight,test_RMSE,test_MAE,test_R2,test_MaxError,test_NRMSE,test_daylight_RMSE,test_daylight_MAE,test_daylight_R2,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_daily_total_MAE,test_daily_total_R2,test_skill_vs_persistence_daylight,tabular_model,deep_model,w_tabular,w_deep
24h_multihorizon,Ensemble_XGBoost_w0.7_GRU_w0.3,ensemble,0.0,163.90226103344335,75.05030059814453,0.9803230166435242,2114.98974609375,0.041819825768470764,227.6821900972933,141.38711547851562,0.9577049612998962,67.26972439599035,163.9574365975054,172.2945787742609,2073.37587041038,1437.5450439453125,0.8744157552719116,0.26395503511256957,180.78632501519576,80.72109985351562,0.9756594896316528,2498.59033203125,0.04632268846035004,251.13652599233748,152.31442260742188,0.9483322501182556,77.82236696979378,174.47845833189552,185.7118063021304,2353.66554548432,1602.844482421875,0.8504997491836548,0.26032867117522795,XGBoost,GRU,0.7,0.30000000000000004
24h_multihorizon,Ensemble_CatBoost_w0.3_TSMixer-lite_w0.7,ensemble,0.0,164.0962227246563,76.576416015625,0.9802764058113098,2243.326416015625,0.04186931252479553,227.764089506555,142.71800231933594,0.957674503326416,81.55909655255354,164.05234492380777,171.5453827981826,2069.2479310126178,1417.0587158203125,0.874915361404419,0.26369027286749214,180.73645458408495,82.25531005859375,0.9756729602813721,2488.79296875,0.046309906989336014,250.87211165502234,153.36380004882812,0.9484410285949707,88.88509469305723,175.4312376420602,186.78205255390571,2353.9442431799444,1571.814208984375,0.8504643440246582,0.26110744958457877,CatBoost,TSMixer-lite,0.3,0.7
24h_multihorizon,Ensemble_Random Forest_w0.3_TSMixer-lite_w0.7,ensemble,0.0,164.09912091286475,76.52672576904297,0.9802756905555725,2223.653076171875,0.041870053857564926,227.7844975931198,143.01394653320312,0.9576669335365295,78.30940112583865,164.50154349579824,172.14784026019612,2070.8802476241835,1421.120361328125,0.8747179508209229,0.2636242981447763,180.3798184560845,81.9572982788086,0.9757688641548157,2476.3642578125,0.04621852934360504,250.40267570455393,153.1960906982422,0.9486337900161743,87.2115726176148,175.44445791332367,186.72953159248806,2348.391683684815,1576.58251953125,0.8511689305305481,0.26249007726850115,Random Forest,TSMixer-lite,0.3,0.7
24h_multihorizon,Ensemble_HistGradientBoosting_w0.3_LSTM_w0.7,ensemble,0.0,164.36848252288212,80.49903869628906,0.9802109003067017,2093.207763671875,0.04193878173828125,227.92199871885995,146.0348663330078,0.9576157927513123,79.79085515525104,165.0690374036724,172.0359360170136,2064.697798710504,1418.6578369140625,0.8754648566246033,0.2631797881406158,182.22002282611535,86.61532592773438,0.9752719402313232,2552.26513671875,0.046690039336681366,252.74520890612348,157.54786682128906,0.947668194770813,90.18957627114538,176.66185810574675,186.86626233753378,2380.4912308177068,1600.612060546875,0.8470724821090698,0.25559062431487556,HistGradientBoosting,LSTM,0.3,0.7
24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_iTransformer-mini_w0.3,ensemble,0.0,164.18866577431587,77.33959197998047,0.9802541732788086,2063.352294921875,0.041892897337675095,228.0565136923302,144.19686889648438,0.9575657844543457,68.39615260675303,164.2625387622662,172.01823009313577,2076.781765135663,1460.76708984375,0.8740028738975525,0.26274493169056834,181.59094011334926,82.54542541503906,0.9754423499107361,2512.8466796875,0.046528853476047516,252.23352275223053,154.1964874267578,0.9478799104690552,79.14049389179664,175.6840703596231,185.9043983140259,2367.654218841932,1615.5208740234375,0.8487173914909363,0.25709769134105076,HistGradientBoosting,iTransformer-mini,0.7,0.30000000000000004
24h_multihorizon,Ensemble_XGBoost_w0.3_LSTM_w0.7,ensemble,0.0,164.45736410807208,79.83824157714844,0.9801895022392273,2111.94384765625,0.04196145758032799,228.09155576763467,145.5801239013672,0.9575527310371399,79.55700712578685,165.3228257644721,172.10492007965664,2069.7602518166204,1421.1728515625,0.8748533725738525,0.26263164859593524,182.1736808652666,86.03050231933594,0.9752845168113708,2547.7763671875,0.04667816311120987,252.72326917252792,157.248779296875,0.9476773142814636,89.78180473201405,177.02210093304734,186.89428203198193,2380.946240468272,1601.814208984375,0.8470140099525452,0.25565524331778067,XGBoost,LSTM,0.3,0.7
24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_GRU_w0.5,ensemble,0.0,164.39046386385982,78.01811218261719,0.9802055954933167,2079.218994140625,0.041944388300180435,228.17519995608637,144.09437561035156,0.9575216174125671,72.26558952701832,163.25616733181934,171.34007097545805,2073.2298473637697,1430.0079345703125,0.8744334578514099,0.26236124587481924,181.53010683492698,83.45904541015625,0.9754588007926941,2489.6171875,0.04651326313614845,252.00048828077695,154.54737854003906,0.9479761719703674,83.71849629020907,174.5355947310605,185.52561522940707,2363.7363431652016,1593.1597900390625,0.8492176532745361,0.2577840467665745,HistGradientBoosting,GRU,0.5,0.5
24h_multihorizon,Ensemble_XGBoost_w0.7_iTransformer-mini_w0.3,ensemble,0.0,164.4342098682631,75.77859497070312,0.9801950454711914,2147.45654296875,0.04195554926991463,228.43513165666965,142.83547973632812,0.9574247598648071,67.79710726798194,165.04537136610344,172.52016979001326,2088.2921251587386,1463.7740478515625,0.8726023435592651,0.2615209455450166,181.40671027073392,81.13072967529297,0.9754921793937683,2502.5458984375,0.046481646597385406,252.01121471821446,153.14688110351562,0.9479717016220093,78.07739487101084,175.76099605536777,185.99745882000647,2367.1268449324807,1616.3685302734375,0.8487847447395325,0.2577524542365688,XGBoost,iTransformer-mini,0.7,0.30000000000000004
24h_multihorizon,Ensemble_XGBoost_w0.5_GRU_w0.5,ensemble,0.0,164.65182844224657,77.01177978515625,0.9801425933837891,2112.65234375,0.0420110747218132,228.5864596410951,143.38348388671875,0.9573683142662048,71.88606912047528,164.09002150115649,171.73815006427662,2082.5049819868377,1434.67626953125,0.873307466506958,0.26103173643764055,181.4755170298462,82.53458404541016,0.9754735827445984,2496.1552734375,0.04649927467107773,251.96498082570918,153.9898223876953,0.9479908347129822,82.82451269004696,174.88368902644982,185.73535229931323,2364.229367045423,1596.0550537109375,0.8491547107696533,0.2578886267211207,XGBoost,GRU,0.5,0.5
24h_multihorizon,Ensemble_Random Forest_w0.7_TSMixer-lite_w0.3,ensemble,0.0,164.5362683232788,75.29422760009766,0.980170488357544,2150.00244140625,0.041981592774391174,228.60204402246714,143.22869873046875,0.9573625326156616,69.90451425538447,165.55250772036044,172.89083893457166,2087.2043503212617,1465.99267578125,0.8727350234985352,0.260981355661547,181.13747584707588,80.73658752441406,0.9755648970603943,2516.99169921875,0.04641266167163849,251.66087362261936,153.60250854492188,0.9481163024902344,79.86162348869449,176.9632068044089,185.9461552607367,2365.5832261833443,1623.4422607421875,0.8489819169044495,0.25878431235715393,Random Forest,TSMixer-lite,0.7,0.30000000000000004
