rank_in_task_dataset,rank_in_scope,task,dataset_years,comparison_scope,model,model_family,source_notebook,source_task_raw,sort_metric,sort_RMSE,val_sort_RMSE,test_RMSE,test_daylight_RMSE,val_RMSE,val_daylight_RMSE,test_R2,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,train_seconds,n_params,note
9,9,target_24h,3y,direct_point,PatchTST,deep_standard,08_standard_deep_sequence_models_all_tasks,point_3y_target_24h,val_daylight_RMSE,306.7521648252869,306.7521648252869,238.5531829461724,334.95603722727554,,306.7521648252869,0.9516565799713136,238.5531829461724,,,,10.437991380691528,1072513.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
10,10,target_24h,3y,direct_point,RandomForest,boosting/tree,02_ml_baselines_boosting_ablation,target_24h,val_daylight_RMSE,311.40343041438337,311.40343041438337,211.11712272314463,297.0128355242709,226.8863188158994,311.40343041438337,0.917234886882216,,,,,20.08103060722351,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
11,11,target_24h,3y,direct_point,XGBoost,boosting/tree,02_ml_baselines_boosting_ablation,target_24h,val_daylight_RMSE,312.407000519264,312.407000519264,209.9981098112727,295.4028528163593,227.7048483811217,312.407000519264,0.9181297253377908,,,,,1.9931845664978027,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
12,12,target_24h,3y,direct_point,HistGradientBoosting,boosting/tree,02_ml_baselines_boosting_ablation,target_24h,val_daylight_RMSE,315.3759039456927,315.3759039456927,213.96482350616168,300.92504018685145,230.04120395394,315.3759039456927,0.9150401901973682,,,,,1.9696917533874512,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
13,13,target_24h,3y,direct_point,TSMixer,deep_standard,08_standard_deep_sequence_models_all_tasks,point_3y_target_24h,val_daylight_RMSE,317.4073929904595,317.4073929904595,239.7730453600863,336.79015629171823,,317.4073929904595,0.9511609077453612,239.7730453600863,,,,24.24317312240601,1258481.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
14,14,target_24h,3y,direct_point,iTransformer,deep_standard,08_standard_deep_sequence_models_all_tasks,point_3y_target_24h,val_daylight_RMSE,320.5194148760727,320.5194148760727,238.38557757077083,334.5967722498231,,320.5194148760727,0.9517245292663574,238.38557757077083,,,,10.545110940933228,1143553.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
15,15,target_24h,3y,direct_point,SVR_RBF,tabular_ml,02_ml_baselines_boosting_ablation,target_24h,val_daylight_RMSE,399.2877114111518,399.2877114111518,249.8172479166671,349.57431830040696,293.29263865852766,399.2877114111518,0.8853495098031212,,,,,2.027708053588867,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
16,16,target_24h,3y,direct_point,LinearRegression,tabular_ml,02_ml_baselines_boosting_ablation,target_24h,val_daylight_RMSE,698.7812218294288,698.7812218294288,513.0848310553409,583.999362145678,581.2386522939123,698.7812218294288,0.6800208925563356,,,,,0.0036177635192871,,Direct point forecasting on 3y dataset. Ranked by validation daylight RMSE.
1,1,target_24h,20y,direct_point,PatchTST,deep_standard,08_standard_deep_sequence_models_all_tasks,point_20y_target_24h,val_daylight_RMSE,236.601177485447,236.601177485447,189.59186221657828,257.92783026459165,,236.601177485447,0.9768573045730592,189.59186221657828,,,,16.495755910873413,1078657.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
2,2,target_24h,20y,direct_point,TSMixer,deep_standard,08_standard_deep_sequence_models_all_tasks,point_20y_target_24h,val_daylight_RMSE,236.9496254481108,236.9496254481108,186.5034768442669,254.4255401266744,,236.9496254481108,0.9776051044464112,186.5034768442669,,,,73.1563994884491,1350705.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
3,3,target_24h,20y,direct_point,iTransformer,deep_standard,08_standard_deep_sequence_models_all_tasks,point_20y_target_24h,val_daylight_RMSE,241.31603694636624,241.31603694636624,194.70896751626515,265.6553365029583,,241.31603694636624,0.9755911827087402,194.70896751626515,,,,15.474108934402466,1209345.0,Direct point forecasting standard deep model. Ranked by validation daylight RMSE.
1,1,daily_total,3y,direct_daily,Ridge,tabular_ml,04_daily_total_forecasting_final_comparison,next_day_daily_total_3y,val_RMSE,2816.7756389176616,2816.7756389176616,2978.15748408307,,2816.7756389176616,,0.700323224067688,,,,,0.012261152267456,,Direct next-day daily-total forecasting on 3y dataset. Ranked by validation RMSE.
2,2,daily_total,3y,direct_daily,RandomForest,boosting/tree,04_daily_total_forecasting_final_comparison,next_day_daily_total_3y,val_RMSE,2830.914016050805,2830.914016050805,2815.794336497317,,2830.914016050805,,0.7321081120933435,,,,,0.9648833274841307,,Direct next-day daily-total forecasting on 3y dataset. Ranked by validation RMSE.
3,3,daily_total,3y,direct_daily,HistGradientBoosting,boosting/tree,04_daily_total_forecasting_final_comparison,next_day_daily_total_3y,val_RMSE,2922.741024842281,2922.741024842281,3120.3180857331386,,2922.741024842281,,0.6710306495431017,,,,,3.813734292984009,,Direct next-day daily-total forecasting on 3y dataset. Ranked by validation RMSE.
4,4,daily_total,3y,direct_daily,LinearRegression,tabular_ml,04_daily_total_forecasting_final_comparison,next_day_daily_total_3y,val_RMSE,2939.142391923195,2939.142391923195,3239.303320160062,,2939.142391923195,,0.6454635262489319,,,,,0.0260374546051025,,Direct next-day daily-total forecasting on 3y dataset. Ranked by validation RMSE.
5,5,daily_total,3y,direct_daily,CatBoost,boosting/tree,04_daily_total_forecasting_final_comparison,next_day_daily_total_3y,val_RMSE,2943.558889590935,2943.558889590935,2872.0042770039363,,2943.558889590935,,0.721305841865197,,,,,2.0668225288391118,,Direct next-day daily-total forecasting on 3y dataset. Ranked by validation RMSE.
6,6,daily_total,3y,direct_daily,XGBoost,boosting/tree,04_daily_total_forecasting_final_comparison,next_day_daily_total_3y,val_RMSE,2962.1769022122903,2962.1769022122903,3043.0974351801488,,2962.1769022122903,,0.6871116161346436,,,,,1.1787939071655271,,Direct next-day daily-total forecasting on 3y dataset. Ranked by validation RMSE.
7,7,daily_total,3y,direct_daily,SVR_RBF,tabular_ml,04_daily_total_forecasting_final_comparison,next_day_daily_total_3y,val_RMSE,6002.759054256637,6002.759054256637,5406.123293260624,,6002.759054256637,,0.0125170793938264,,,,,0.0422635078430175,,Direct next-day daily-total forecasting on 3y dataset. Ranked by validation RMSE.
8,8,daily_total,3y,direct_daily,MLP,tabular_ml,04_daily_total_forecasting_final_comparison,next_day_daily_total_3y,val_RMSE,9068.103219527224,9068.103219527224,10388.333456334563,,9068.103219527224,,-2.646275281906128,,,,,0.6455447673797607,,Direct next-day daily-total forecasting on 3y dataset. Ranked by validation RMSE.
1,1,daily_total,20y,direct_daily,CatBoost,boosting/tree,05_extended_daily_total_forecasting_20y,next_day_daily_total_20y,val_RMSE,2324.939979436147,2324.939979436147,2701.754582059258,,2324.939979436147,,0.8054749352628049,,,,,6.209910869598389,,Direct next-day daily-total forecasting on 20y dataset. Ranked by validation RMSE.
2,1,daily_total,20y,derived_from_24h_multihorizon,Ensemble_XGBoost_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,daily_total_from_24h_multihorizon_20y,val_daily_total_RMSE,2330.437190743402,,2330.437190743402,,,,0.8534359931945801,,,,2330.437190743402,,,"Daily total obtained by summing 24h multihorizon predictions. Labelled as derived, not direct daily model."
3,2,daily_total,20y,derived_from_24h_multihorizon,Ensemble_XGBoost_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,daily_total_from_24h_multihorizon_20y,val_daily_total_RMSE,2330.6002445722,,2330.6002445722,,,,0.8534154891967773,,,,2330.6002445722,,,"Daily total obtained by summing 24h multihorizon predictions. Labelled as derived, not direct daily model."
4,3,daily_total,20y,derived_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,daily_total_from_24h_multihorizon_20y,val_daily_total_RMSE,2331.624540958513,,2331.624540958513,,,,0.853286623954773,,,,2331.624540958513,,,"Daily total obtained by summing 24h multihorizon predictions. Labelled as derived, not direct daily model."
5,4,daily_total,20y,derived_from_24h_multihorizon,Ensemble_HistGradientBoosting_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,daily_total_from_24h_multihorizon_20y,val_daily_total_RMSE,2331.978023052533,,2331.978023052533,,,,0.8532421588897705,,,,2331.978023052533,,,"Daily total obtained by summing 24h multihorizon predictions. Labelled as derived, not direct daily model."
6,5,daily_total,20y,derived_from_24h_multihorizon,Ensemble_XGBoost_w0.3_TSMixer-lite_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,daily_total_from_24h_multihorizon_20y,val_daily_total_RMSE,2343.6963327188955,,2343.6963327188955,,,,0.8517634868621826,,,,2343.6963327188955,,,"Daily total obtained by summing 24h multihorizon predictions. Labelled as derived, not direct daily model."
7,2,daily_total,20y,direct_daily,LinearRegression,tabular_ml,05_extended_daily_total_forecasting_20y,next_day_daily_total_20y,val_RMSE,2352.1905747621727,2352.1905747621727,2734.181321712223,,2352.1905747621727,,0.8007774949073792,,,,,0.0437664985656738,,Direct next-day daily-total forecasting on 20y dataset. Ranked by validation RMSE.
8,3,daily_total,20y,direct_daily,Ridge,tabular_ml,05_extended_daily_total_forecasting_20y,next_day_daily_total_20y,val_RMSE,2355.68482611745,2355.68482611745,2721.077911416724,,2355.68482611745,,0.8026824593544006,,,,,0.0127477645874023,,Direct next-day daily-total forecasting on 20y dataset. Ranked by validation RMSE.
9,4,daily_total,20y,direct_daily,XGBoost,boosting/tree,05_extended_daily_total_forecasting_20y,next_day_daily_total_20y,val_RMSE,2408.2991923762297,2408.2991923762297,2841.7851783693995,,2408.2991923762297,,0.7847881317138672,,,,,2.3733952045440674,,Direct next-day daily-total forecasting on 20y dataset. Ranked by validation RMSE.
10,5,daily_total,20y,direct_daily,HistGradientBoosting,boosting/tree,05_extended_daily_total_forecasting_20y,next_day_daily_total_20y,val_RMSE,2409.845728063281,2409.845728063281,2836.943048598891,,2409.845728063281,,0.7855208844554447,,,,,5.0516197681427,,Direct next-day daily-total forecasting on 20y dataset. Ranked by validation RMSE.
11,6,daily_total,20y,direct_daily,RandomForest,boosting/tree,05_extended_daily_total_forecasting_20y,next_day_daily_total_20y,val_RMSE,2438.014608646028,2438.014608646028,2729.377527563509,,2438.014608646028,,0.8014769229370995,,,,,14.837305545806885,,Direct next-day daily-total forecasting on 20y dataset. Ranked by validation RMSE.
12,7,daily_total,20y,direct_daily,MLP,tabular_ml,05_extended_daily_total_forecasting_20y,next_day_daily_total_20y,val_RMSE,2461.771313505785,2461.771313505785,2916.85018470267,,2461.771313505785,,0.773268461227417,,,,,12.839784145355225,,Direct next-day daily-total forecasting on 20y dataset. Ranked by validation RMSE.
13,8,daily_total,20y,direct_daily,iTransformer,deep_standard,08_standard_deep_sequence_models_all_tasks,daily_total_20y_next_day,val_RMSE,2499.941699320206,2499.941699320206,2863.0539638644605,2863.0539638644605,,2499.941699320206,0.7815741300582886,2863.0539638644605,,,,2.560020446777344,1031041.0,Direct daily-total standard deep model. Ranked by validation RMSE.
14,9,daily_total,20y,direct_daily,TSMixer,deep_standard,08_standard_deep_sequence_models_all_tasks,daily_total_20y_next_day,val_RMSE,2609.438732754613,2609.438732754613,2866.598332518876,2866.598332518876,,2609.438732754613,0.7810330390930176,2866.598332518876,,,,3.5416719913482666,428297.0,Direct daily-total standard deep model. Ranked by validation RMSE.
15,10,daily_total,20y,direct_daily,PatchTST,deep_standard,08_standard_deep_sequence_models_all_tasks,daily_total_20y_next_day,val_RMSE,2736.8089081994744,2736.8089081994744,3006.264126785935,3006.264126785935,,2736.8089081994744,0.7591763138771057,3006.264126785935,,,,3.0731759071350098,1199489.0,Direct daily-total standard deep model. Ranked by validation RMSE.
16,11,daily_total,20y,direct_daily,SVR_RBF,tabular_ml,05_extended_daily_total_forecasting_20y,next_day_daily_total_20y,val_RMSE,3328.937898968184,3328.937898968184,3572.9238539433263,,3328.937898968184,,0.6598023600921277,,,,,1.3715674877166748,,Direct next-day daily-total forecasting on 20y dataset. Ranked by validation RMSE.
1,1,multihorizon,20y,direct_multihorizon,Ensemble_HistGradientBoosting_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting,24h_multihorizon_20y,val_daylight_RMSE,225.29830052343937,225.29830052343937,179.13629587551486,248.7674459962557,,225.29830052343937,0.976101815700531,80.2708397541956,173.07058034585197,185.09850629124483,2331.624540958513,0.0,,Direct 24h multihorizon result on 20y dataset. Kept regular models plus top-3 validation-selected ensembles.
2,2,multihorizon,20y,direct_multihorizon,Ensemble_HistGradientBoosting_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting,24h_multihorizon_20y,val_daylight_RMSE,225.447298442452,225.447298442452,179.47993990450576,249.32306006715464,,225.447298442452,0.9760100245475768,77.05429738887864,173.36358222136792,184.91799280356685,2331.978023052533,0.0,,Direct 24h multihorizon result on 20y dataset. Kept regular models plus top-3 validation-selected ensembles.
3,3,multihorizon,20y,direct_multihorizon,Ensemble_XGBoost_w0.5_TSMixer-lite_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting,24h_multihorizon_20y,val_daylight_RMSE,225.6598484168152,225.6598484168152,178.9699586348223,248.5647237139655,,225.6598484168152,0.976146161556244,79.58389711296815,173.2812020964767,185.37293491769503,2330.437190743402,0.0,,Direct 24h multihorizon result on 20y dataset. Kept regular models plus top-3 validation-selected ensembles.
4,4,multihorizon,20y,direct_multihorizon,HistGradientBoosting,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting,24h_multihorizon_20y,val_daylight_RMSE,228.6926755358597,228.6926755358597,182.0920740655672,253.0027328162682,,228.6926755358597,0.9753066301345824,76.85389064850588,176.30312253509578,186.9943807645032,2357.199609706399,28.67299747467041,,Direct 24h multihorizon result on 20y dataset. Kept regular models plus top-3 validation-selected ensembles.
5,5,multihorizon,20y,direct_multihorizon,CatBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting,24h_multihorizon_20y,val_daylight_RMSE,228.7461065242423,228.7461065242423,183.22073009760655,254.46680622185283,,228.7461065242423,0.9749996066093444,86.54964931688053,177.89272684858423,184.62440758198792,2402.022793397265,95.03350138664246,,Direct 24h multihorizon result on 20y dataset. Kept regular models plus top-3 validation-selected ensembles.
6,6,multihorizon,20y,direct_multihorizon,XGBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting,24h_multihorizon_20y,val_daylight_RMSE,228.8778843346381,228.8778843346381,181.56992239561595,252.2976060751469,,228.8778843346381,0.9754480719566344,75.2797127800711,175.7308677797529,187.18373326761065,2355.93410349271,39.11745262145996,,Direct 24h multihorizon result on 20y dataset. Kept regular models plus top-3 validation-selected ensembles.
7,7,multihorizon,20y,direct_multihorizon,TSMixer,deep_standard,08_standard_deep_sequence_models_all_tasks,multihorizon_20y_24h,val_daylight_RMSE,232.4544814313116,232.4544814313116,184.46973201923944,255.4466599776752,,232.4544814313116,0.9746503233909608,95.62226813908202,185.25444917059343,184.8663791093448,2442.4664787873758,64.88282322883606,1356616.0,Direct 24h multihorizon standard deep model. Mapping fixed: multihorizon_20y_24h stays multihorizon. Ranked by validation daylight RMSE.
