reference_rank,task,dataset_years,comparison_scope,model,model_family,source_notebook,reference_sort_metric,reference_sort_RMSE,horizon_specific_metric,horizon_specific_RMSE,test_RMSE,test_daylight_RMSE,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_R2,note
25,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_XGBoost_w0.5_GRU_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.5864596410951,test_h1_RMSE,82.82451269004696,181.4755170298462,251.9649808257092,82.82451269004696,174.88368902644982,185.73535229931323,2364.229367045423,0.9754735827445984,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
26,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.7_TSMixer-lite_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.60204402246717,test_h1_RMSE,79.86162348869449,181.13747584707588,251.66087362261936,79.86162348869449,176.9632068044089,185.9461552607367,2365.5832261833443,0.9755648970603944,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
27,target_1h,20y,reference_only_from_24h_multihorizon,HistGradientBoosting,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.6926755358597,test_h1_RMSE,76.85389064850588,182.0920740655672,253.0027328162682,76.85389064850588,176.30312253509578,186.9943807645032,2357.199609706399,0.9753066301345824,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
28,target_1h,20y,reference_only_from_24h_multihorizon,CatBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.7461065242423,test_h1_RMSE,86.54964931688053,183.22073009760655,254.46680622185283,86.54964931688053,177.89272684858423,184.62440758198792,2402.022793397265,0.9749996066093444,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
29,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.5_LSTM_w0.5,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.76830527850663,test_h1_RMSE,86.36804082855244,182.0987777107524,252.82167010563,86.36804082855244,178.05520013994257,186.61121641999443,2379.462544357444,0.9753048419952391,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
30,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.3_LSTM_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.836911426566,test_h1_RMSE,94.58546998779728,183.1262158662708,254.02352099510392,94.58546998779728,177.74392900145705,186.9270412487182,2392.011914686045,0.9750253558158876,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
31,target_1h,20y,reference_only_from_24h_multihorizon,XGBoost,boosting/tree,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,228.8778843346381,test_h1_RMSE,75.2797127800711,181.56992239561595,252.2976060751469,75.2797127800711,175.7308677797529,187.18373326761065,2355.93410349271,0.9754480719566344,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
32,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_CatBoost_w0.7_GRU_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,229.00828144141423,test_h1_RMSE,88.1354603720886,182.8304478369235,253.89021680147505,88.1354603720886,176.77814264990454,184.8533730588923,2388.072339775326,0.9751060009002686,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
33,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.3_LSTM_w0.7,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,229.28358191876717,test_h1_RMSE,92.19355382665049,182.9057134154097,253.73498262212485,92.19355382665049,178.47732151978022,187.36905844482436,2387.9020080396936,0.9750854969024658,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
34,target_1h,20y,reference_only_from_24h_multihorizon,Ensemble_Random Forest_w0.7_LSTM_w0.3,ensemble,07_compact_multihorizon_24h_sequence_forecasting__derived,val_daylight_RMSE_of_whole_24h_sequence,229.7407676327821,test_h1_RMSE,82.20248793946263,182.4294812386419,253.4225411738269,82.20248793946263,178.756692400942,186.8432351765779,2387.5428791960994,0.9752150774002076,Reference only: h1/h24 metric comes from 24h multihorizon output; do not mix-rank with direct point models.
