epoch,train_loss,val_loss,lr,task,model
6,0.010541944565763425,0.004416613022128687,0.0007,point_20y_target_1h,PatchTST-standard
7,0.010227276565104026,0.004064190692430281,0.0007,point_20y_target_1h,PatchTST-standard
8,0.009776283993674388,0.0039045130758060386,0.0007,point_20y_target_1h,PatchTST-standard
9,0.009917103173483533,0.00532770174069573,0.0007,point_20y_target_1h,PatchTST-standard
10,0.00995147970031228,0.003974192583447565,0.0007,point_20y_target_1h,PatchTST-standard
11,0.009794696661703593,0.00781451885426498,0.00035,point_20y_target_1h,PatchTST-standard
12,0.008829902307462622,0.0037505907644315257,0.00035,point_20y_target_1h,PatchTST-standard
13,0.008284967166660299,0.004904760513454676,0.00035,point_20y_target_1h,PatchTST-standard
14,0.008338835142138932,0.003050308153235718,0.00035,point_20y_target_1h,PatchTST-standard
15,0.008254106785579208,0.003286782895093379,0.00035,point_20y_target_1h,PatchTST-standard
16,0.007737897305166599,0.003729928310191178,0.00035,point_20y_target_1h,PatchTST-standard
17,0.0076081194991126045,0.003976120780546056,0.000175,point_20y_target_1h,PatchTST-standard
18,0.006897012833832649,0.0028930718873870437,0.000175,point_20y_target_1h,PatchTST-standard
19,0.006615555167132825,0.002683806324215687,0.000175,point_20y_target_1h,PatchTST-standard
20,0.006578533150451748,0.0028560083136772332,0.000175,point_20y_target_1h,PatchTST-standard
21,0.006289121806512625,0.002781092366406127,0.000175,point_20y_target_1h,PatchTST-standard
22,0.0062217212946573544,0.0030795389042316897,8.75e-05,point_20y_target_1h,PatchTST-standard
23,0.005807282694490158,0.0028050706605426967,8.75e-05,point_20y_target_1h,PatchTST-standard
24,0.005609429521725801,0.002602858866220745,8.75e-05,point_20y_target_1h,PatchTST-standard
25,0.005495812811981342,0.002889122403955654,8.75e-05,point_20y_target_1h,PatchTST-standard
1,0.06498407998955563,0.008885820112798525,0.0007,point_20y_target_1h,iTransformer-standard
2,0.0149936111785515,0.006204369199543219,0.0007,point_20y_target_1h,iTransformer-standard
3,0.014501548532875832,0.006171659434862111,0.0007,point_20y_target_1h,iTransformer-standard
4,0.013128934749429338,0.005380865803960225,0.0007,point_20y_target_1h,iTransformer-standard
5,0.012272937157959268,0.00517863863269272,0.0007,point_20y_target_1h,iTransformer-standard
6,0.012036235877775659,0.003919575915104993,0.0007,point_20y_target_1h,iTransformer-standard
7,0.011544161399946226,0.003448961004007446,0.0007,point_20y_target_1h,iTransformer-standard
8,0.011490711659105897,0.004448337844856407,0.0007,point_20y_target_1h,iTransformer-standard
9,0.01112725251566684,0.004105355529843465,0.0007,point_20y_target_1h,iTransformer-standard
10,0.010747162832154168,0.003337544657330474,0.0007,point_20y_target_1h,iTransformer-standard
11,0.01078189220769625,0.006114022067302595,0.0007,point_20y_target_1h,iTransformer-standard
12,0.010344554261680235,0.0037641418571381464,0.0007,point_20y_target_1h,iTransformer-standard
13,0.0102255709594584,0.0043087504176503935,0.00035,point_20y_target_1h,iTransformer-standard
14,0.008970226927752994,0.0030433903195206885,0.00035,point_20y_target_1h,iTransformer-standard
15,0.008729977707503831,0.004238780350019427,0.00035,point_20y_target_1h,iTransformer-standard
16,0.008947579620395139,0.0034183620212032743,0.00035,point_20y_target_1h,iTransformer-standard
17,0.00922159399368871,0.003086400253738722,0.000175,point_20y_target_1h,iTransformer-standard
18,0.007914533778720083,0.0027918247835022275,0.000175,point_20y_target_1h,iTransformer-standard
19,0.008041808159738692,0.0028298103412532287,0.000175,point_20y_target_1h,iTransformer-standard
20,0.007900512409641555,0.002956819902781559,0.000175,point_20y_target_1h,iTransformer-standard
21,0.00768283869368596,0.0031364419011642103,8.75e-05,point_20y_target_1h,iTransformer-standard
22,0.007072677344290746,0.002887073947298948,8.75e-05,point_20y_target_1h,iTransformer-standard
23,0.006967588853395996,0.0028510206839596126,8.75e-05,point_20y_target_1h,iTransformer-standard
1,0.07956731071619437,0.02397316109146113,0.0007,point_20y_target_24h,TSMixer-standard
2,0.034154275759008895,0.021623263317767694,0.0007,point_20y_target_24h,TSMixer-standard
3,0.033465086221041385,0.0208458899439353,0.0007,point_20y_target_24h,TSMixer-standard
4,0.033492294330781665,0.026350828150854162,0.0007,point_20y_target_24h,TSMixer-standard
5,0.03197281761911877,0.022162137269649818,0.0007,point_20y_target_24h,TSMixer-standard
6,0.03323394493662823,0.022877636811007625,0.00035,point_20y_target_24h,TSMixer-standard
7,0.030122099313558193,0.01937592131814555,0.00035,point_20y_target_24h,TSMixer-standard
8,0.029468040292461712,0.019689832783668586,0.00035,point_20y_target_24h,TSMixer-standard
9,0.02996856948001343,0.020707468623700348,0.00035,point_20y_target_24h,TSMixer-standard
10,0.029152378674095484,0.01915340745092734,0.00035,point_20y_target_24h,TSMixer-standard
11,0.029330964358142246,0.019360061987991565,0.00035,point_20y_target_24h,TSMixer-standard
12,0.028861289680526966,0.020298914255007454,0.00035,point_20y_target_24h,TSMixer-standard
13,0.028040418989564244,0.020590334553676454,0.000175,point_20y_target_24h,TSMixer-standard
14,0.02604108908872681,0.02084327355513106,0.000175,point_20y_target_24h,TSMixer-standard
15,0.026231744833159865,0.022443775856948418,0.000175,point_20y_target_24h,TSMixer-standard
1,0.06480204185460046,0.02561747958964628,0.0007,point_20y_target_24h,PatchTST-standard
2,0.031937391911115914,0.022804818338836016,0.0007,point_20y_target_24h,PatchTST-standard
3,0.030888128622669226,0.02101728022503464,0.0007,point_20y_target_24h,PatchTST-standard
4,0.029476172285296066,0.02081115041737971,0.0007,point_20y_target_24h,PatchTST-standard
5,0.029594496900095926,0.019332994038806013,0.0007,point_20y_target_24h,PatchTST-standard
6,0.02919718930606692,0.019240217526321827,0.0007,point_20y_target_24h,PatchTST-standard
7,0.029330094366699283,0.01942151754527636,0.0007,point_20y_target_24h,PatchTST-standard
8,0.029063554437101236,0.02005515757786191,0.0007,point_20y_target_24h,PatchTST-standard
9,0.029746918895483365,0.01950910734012723,0.00035,point_20y_target_24h,PatchTST-standard
10,0.026859702768446934,0.019373265317762674,0.00035,point_20y_target_24h,PatchTST-standard
11,0.02695764102346716,0.020603746044166062,0.00035,point_20y_target_24h,PatchTST-standard
1,0.07804226856787651,0.0285674429944028,0.0007,point_20y_target_24h,iTransformer-standard
2,0.03681125688470072,0.02367472369223833,0.0007,point_20y_target_24h,iTransformer-standard
3,0.034500053849572325,0.02067762088921407,0.0007,point_20y_target_24h,iTransformer-standard
4,0.0341991201800169,0.04061207491094652,0.0007,point_20y_target_24h,iTransformer-standard
5,0.03284940953034232,0.019910288498858394,0.0007,point_20y_target_24h,iTransformer-standard
6,0.03260291672763769,0.024725089133109734,0.0007,point_20y_target_24h,iTransformer-standard
7,0.03227620153028888,0.02132781323693369,0.0007,point_20y_target_24h,iTransformer-standard
8,0.03198616032908012,0.02022714754971473,0.00035,point_20y_target_24h,iTransformer-standard
9,0.029474365579410952,0.021526037796359997,0.00035,point_20y_target_24h,iTransformer-standard
10,0.02815534648817708,0.020847074080096638,0.00035,point_20y_target_24h,iTransformer-standard
1,0.2792359178149423,0.2213366155823072,0.0007,daily_total_20y_next_day,TSMixer-standard
2,0.20081366373356,0.1985708773136139,0.0007,daily_total_20y_next_day,TSMixer-standard
3,0.18851758886215297,0.1727198784550031,0.0007,daily_total_20y_next_day,TSMixer-standard
4,0.17387422815311787,0.18006834636131921,0.0007,daily_total_20y_next_day,TSMixer-standard
5,0.1608112050696861,0.17288229366143545,0.0007,daily_total_20y_next_day,TSMixer-standard
6,0.1416245622690334,0.22820245722929636,0.00035,daily_total_20y_next_day,TSMixer-standard
7,0.12222929628089417,0.18938995028535524,0.00035,daily_total_20y_next_day,TSMixer-standard
8,0.10420418773279634,0.19671189039945602,0.00035,daily_total_20y_next_day,TSMixer-standard
1,0.5391423944817033,0.21531498183806738,0.0007,daily_total_20y_next_day,PatchTST-standard
2,0.2550302123607591,0.22068723663687706,0.0007,daily_total_20y_next_day,PatchTST-standard
3,0.255045285058576,0.18941196302572885,0.0007,daily_total_20y_next_day,PatchTST-standard
4,0.24257354507612627,0.20815919588009515,0.0007,daily_total_20y_next_day,PatchTST-standard
5,0.24082146862218545,0.20134775588909784,0.0007,daily_total_20y_next_day,PatchTST-standard
6,0.23316494288832643,0.1979223887125651,0.00035,daily_total_20y_next_day,PatchTST-standard
7,0.22343227509842362,0.19137544681628546,0.00035,daily_total_20y_next_day,PatchTST-standard
8,0.2189031108174213,0.19101949036121368,0.00035,daily_total_20y_next_day,PatchTST-standard
1,0.34324347314446474,0.1677856631577015,0.0007,daily_total_20y_next_day,iTransformer-standard
2,0.21723331822905428,0.1583948222299417,0.0007,daily_total_20y_next_day,iTransformer-standard
3,0.19755686576976333,0.17269382004936537,0.0007,daily_total_20y_next_day,iTransformer-standard
4,0.19016950352247372,0.20120256890853247,0.0007,daily_total_20y_next_day,iTransformer-standard
5,0.1821282946093138,0.18182246511181197,0.00035,daily_total_20y_next_day,iTransformer-standard
6,0.16491910191469414,0.16304044549663863,0.00035,daily_total_20y_next_day,iTransformer-standard
7,0.15580118759426959,0.17805321514606476,0.00035,daily_total_20y_next_day,iTransformer-standard
